task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,restricao_gdpr_europa,95.0,95.0,0.874,0.001,2,1,1,DRL_ONEHOT
2,BRAZIL,,110.0,110.0,0.336,0.001,1,1,1,DRL_ONEHOT
3,BRAZIL,,170.0,170.0,0.328,0.001,1,1,1,DRL_ONEHOT
4,EUROPE,,175.0,175.0,0.31,0.001,2,1,1,DRL_ONEHOT
5,EUROPE,,210.0,210.0,0.34,0.001,2,1,1,DRL_ONEHOT
6,USA,,235.0,235.0,0.312,0.001,15,1,1,DRL_ONEHOT
7,EUROPE,,260.0,260.0,0.305,0.001,2,1,1,DRL_ONEHOT
8,EUROPE,,275.0,275.0,0.297,0.001,2,1,1,DRL_ONEHOT
9,EUROPE,,295.0,295.0,0.302,0.001,2,1,1,DRL_ONEHOT
10,BRAZIL,,305.0,305.0,0.294,0.001,1,1,1,DRL_ONEHOT
11,USA,,315.0,315.0,0.299,0.001,15,1,1,DRL_ONEHOT
12,USA,,340.0,340.0,0.337,0.001,15,1,1,DRL_ONEHOT
13,USA,,360.0,360.0,0.472,0.001,15,1,1,DRL_ONEHOT
14,USA,,435.0,435.0,0.358,0.001,15,1,1,DRL_ONEHOT
15,EUROPE,,450.0,450.0,0.474,0.001,2,1,1,DRL_ONEHOT
16,USA,,545.0,545.0,0.499,0.001,15,1,1,DRL_ONEHOT
17,BRAZIL,,580.0,580.0,0.38,0.001,1,1,1,DRL_ONEHOT
18,USA,,605.0,605.0,0.564,0.001,15,1,1,DRL_ONEHOT
19,USA,,640.0,640.0,0.644,0.001,15,1,1,DRL_ONEHOT
20,EUROPE,,655.0,655.0,0.533,0.001,2,1,1,DRL_ONEHOT
21,USA,,675.0,675.0,0.504,0.001,15,1,1,DRL_ONEHOT
22,EUROPE,,730.0,730.0,0.597,0.001,2,1,1,DRL_ONEHOT
23,EUROPE,,760.0,760.0,0.561,0.001,2,1,1,DRL_ONEHOT
24,EUROPE,,775.0,775.0,0.36,0.001,2,1,1,DRL_ONEHOT
25,USA,,800.0,800.0,0.365,0.001,15,1,1,DRL_ONEHOT
26,EUROPE,,820.0,820.0,0.365,0.001,2,1,1,DRL_ONEHOT
27,EUROPE,,835.0,835.0,0.392,0.001,2,1,1,DRL_ONEHOT
28,USA,restricao_gdpr_europa,885.0,885.0,0.386,0.001,2,1,1,DRL_ONEHOT
29,BRAZIL,,1060.0,1060.0,0.443,0.001,1,1,1,DRL_ONEHOT
30,USA,,1065.0,1065.0,0.346,0.001,15,1,1,DRL_ONEHOT
31,EUROPE,,1140.0,1140.0,0.371,0.001,2,1,1,DRL_ONEHOT
32,EUROPE,,1150.0,1150.0,0.32,0.001,2,1,1,DRL_ONEHOT
33,EUROPE,,1155.0,1155.0,0.318,0.001,2,1,1,DRL_ONEHOT
34,USA,,1160.0,1160.0,0.302,0.001,15,1,1,DRL_ONEHOT
35,BRAZIL,restricao_gdpr_europa,1165.0,1165.0,0.323,0.001,2,1,1,DRL_ONEHOT
