task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,,60.0,60.0,0.004,0.001,2,1,1,BASELINE
2,USA,,70.0,70.0,0.003,0.001,15,1,1,BASELINE
3,BRAZIL,,120.0,120.0,0.003,0.001,1,1,1,BASELINE
4,EUROPE,,150.0,150.0,0.003,0.001,2,1,1,BASELINE
5,EUROPE,,160.0,160.0,0.002,0.001,2,1,1,BASELINE
6,EUROPE,,170.0,170.0,0.002,0.001,2,1,1,BASELINE
7,EUROPE,,220.0,220.0,0.002,0.001,2,1,1,BASELINE
8,EUROPE,,260.0,260.0,0.002,0.001,2,1,1,BASELINE
9,BRAZIL,,280.0,280.0,0.002,0.001,1,1,1,BASELINE
10,EUROPE,,310.0,310.0,0.002,0.001,2,1,1,BASELINE
11,EUROPE,,330.0,330.0,0.002,0.001,2,1,1,BASELINE
12,USA,falha_hardware_camera_esq,380.0,380.0,0.003,0.001,15,1,0,BASELINE
13,EUROPE,,435.0,435.0,0.002,0.001,2,1,1,BASELINE
14,USA,,465.0,465.0,0.002,0.001,15,1,1,BASELINE
15,EUROPE,,480.0,480.0,0.002,0.001,2,1,1,BASELINE
16,EUROPE,,485.0,485.0,0.002,0.001,2,1,1,BASELINE
17,BRAZIL,,535.0,535.0,0.002,0.001,1,1,1,BASELINE
18,EUROPE,,540.0,540.0,0.002,0.001,2,1,1,BASELINE
19,USA,,730.0,730.0,0.002,0.001,15,1,1,BASELINE
20,BRAZIL,,745.0,745.0,0.002,0.001,1,1,1,BASELINE
21,BRAZIL,,825.0,825.0,0.002,0.001,1,1,1,BASELINE
22,BRAZIL,restricao_soberania_brasil,850.0,850.0,0.002,0.001,1,1,1,BASELINE
23,BRAZIL,,865.0,865.0,0.002,0.001,1,1,1,BASELINE
24,BRAZIL,,920.0,920.0,0.003,0.001,1,1,1,BASELINE
25,BRAZIL,,930.0,930.0,0.02,0.001,1,1,1,BASELINE
26,BRAZIL,restricao_gdpr_europa,935.0,935.0,0.003,0.001,1,1,0,BASELINE
27,EUROPE,,1005.0,1005.0,0.003,0.001,2,1,1,BASELINE
28,EUROPE,,1020.0,1020.0,0.002,0.001,2,1,1,BASELINE
29,EUROPE,,1075.0,1075.0,0.002,0.001,2,1,1,BASELINE
30,EUROPE,,1105.0,1105.0,0.002,0.001,2,1,1,BASELINE
31,EUROPE,,1125.0,1125.0,0.002,0.001,2,1,1,BASELINE
