task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,,10.0,10.0,0.992,0.001,2,1,1,DRL_ONEHOT
2,USA,,15.0,15.0,0.45,0.001,15,1,1,DRL_ONEHOT
3,BRAZIL,,25.0,25.0,0.45,0.001,1,1,1,DRL_ONEHOT
4,EUROPE,,30.0,30.0,0.407,0.001,2,1,1,DRL_ONEHOT
5,EUROPE,,35.0,35.0,0.404,0.001,2,1,1,DRL_ONEHOT
6,EUROPE,,40.0,40.0,0.525,0.001,2,1,1,DRL_ONEHOT
7,EUROPE,,50.0,50.0,0.415,0.001,2,1,1,DRL_ONEHOT
8,EUROPE,,55.0,55.0,0.488,0.001,2,1,1,DRL_ONEHOT
9,BRAZIL,,60.0,60.0,0.431,0.001,1,1,1,DRL_ONEHOT
10,EUROPE,,65.0,65.0,0.416,0.001,2,1,1,DRL_ONEHOT
11,EUROPE,,70.0,70.0,0.395,0.001,2,1,1,DRL_ONEHOT
12,USA,falha_hardware_camera_esq,80.0,80.0,0.401,0.001,,0,1,DRL_ONEHOT
13,EUROPE,,90.0,90.0,0.42,0.001,2,1,1,DRL_ONEHOT
14,USA,,95.0,95.0,0.399,0.001,15,1,1,DRL_ONEHOT
15,EUROPE,,100.0,100.0,0.406,0.001,2,1,1,DRL_ONEHOT
16,EUROPE,,105.0,105.0,0.408,0.001,2,1,1,DRL_ONEHOT
17,BRAZIL,,115.0,115.0,1.54,0.001,1,1,1,DRL_ONEHOT
18,EUROPE,,120.0,120.0,0.882,0.001,2,1,1,DRL_ONEHOT
19,USA,,145.0,145.0,0.647,0.001,15,1,1,DRL_ONEHOT
20,BRAZIL,,150.0,150.0,0.568,0.001,1,1,1,DRL_ONEHOT
21,BRAZIL,,160.0,160.0,0.57,0.001,1,1,1,DRL_ONEHOT
22,BRAZIL,restricao_soberania_brasil,165.0,165.0,0.556,0.001,1,1,1,DRL_ONEHOT
23,BRAZIL,,170.0,170.0,0.558,0.001,1,1,1,DRL_ONEHOT
24,BRAZIL,,180.0,180.0,0.581,0.001,1,1,1,DRL_ONEHOT
25,BRAZIL,,185.0,185.0,0.518,0.001,1,1,1,DRL_ONEHOT
26,BRAZIL,restricao_gdpr_europa,190.0,190.0,0.544,0.001,2,1,1,DRL_ONEHOT
27,EUROPE,,200.0,200.0,0.546,0.001,2,1,1,DRL_ONEHOT
28,EUROPE,,205.0,205.0,0.553,0.001,2,1,1,DRL_ONEHOT
29,EUROPE,,215.0,215.0,0.595,0.001,2,1,1,DRL_ONEHOT
30,EUROPE,,220.0,220.0,0.555,0.001,2,1,1,DRL_ONEHOT
31,EUROPE,,225.0,225.0,0.524,0.001,2,1,1,DRL_ONEHOT
32,EUROPE,falha_hardware_camera_esq,235.0,235.0,0.557,0.001,,0,1,DRL_ONEHOT
33,USA,,240.0,240.0,0.553,0.001,15,1,1,DRL_ONEHOT
34,BRAZIL,,245.0,245.0,0.555,0.001,1,1,1,DRL_ONEHOT
35,USA,,250.0,250.0,0.55,0.001,15,1,1,DRL_ONEHOT
36,BRAZIL,,255.0,255.0,0.541,0.001,1,1,1,DRL_ONEHOT
37,BRAZIL,,265.0,265.0,0.554,0.001,1,1,1,DRL_ONEHOT
38,EUROPE,,270.0,270.0,0.546,0.001,2,1,1,DRL_ONEHOT
39,BRAZIL,,275.0,275.0,0.546,0.001,1,1,1,DRL_ONEHOT
40,BRAZIL,restricao_gdpr_europa,285.0,285.0,0.564,0.001,2,1,1,DRL_ONEHOT
41,BRAZIL,,290.0,290.0,0.54,0.001,1,1,1,DRL_ONEHOT
42,BRAZIL,,295.0,295.0,0.531,0.001,1,1,1,DRL_ONEHOT
43,EUROPE,restricao_soberania_brasil,305.0,305.0,0.556,0.001,1,1,1,DRL_ONEHOT
44,EUROPE,restricao_gdpr_europa,310.0,310.0,0.56,0.001,2,1,1,DRL_ONEHOT
45,USA,,315.0,315.0,0.574,0.001,15,1,1,DRL_ONEHOT
46,BRAZIL,,320.0,320.0,0.541,0.001,1,1,1,DRL_ONEHOT
47,BRAZIL,,340.0,340.0,0.55,0.001,1,1,1,DRL_ONEHOT
48,EUROPE,,345.0,345.0,0.536,0.001,2,1,1,DRL_ONEHOT
49,EUROPE,,350.0,350.0,0.545,0.001,2,1,1,DRL_ONEHOT
