task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,BRAZIL,,5.0,5.0,1.236,0.005,1,1,1,DRL
2,BRAZIL,,10.0,10.0,0.738,0.005,1,1,1,DRL
3,EUROPE,,25.0,25.0,0.606,0.005,2,1,1,DRL
4,USA,,30.0,30.0,0.499,0.005,15,1,1,DRL
5,BRAZIL,,35.0,35.0,0.485,0.005,1,1,1,DRL
6,EUROPE,,50.0,50.0,0.943,0.005,2,1,1,DRL
7,BRAZIL,,60.0,60.0,0.638,0.005,1,1,1,DRL
8,EUROPE,,65.0,65.0,0.477,0.005,2,1,1,DRL
9,BRAZIL,,80.0,80.0,0.484,0.005,1,1,1,DRL
10,USA,,90.0,90.0,0.53,0.005,15,1,1,DRL
11,BRAZIL,,95.0,95.0,0.458,0.005,1,1,1,DRL
12,USA,,110.0,110.0,0.684,0.005,15,1,1,DRL
13,USA,,125.0,125.0,0.503,0.005,15,1,1,DRL
14,USA,,135.0,135.0,0.451,0.005,15,1,1,DRL
15,USA,,140.0,140.0,0.445,0.005,15,1,1,DRL
16,EUROPE,restricao_gdpr_europa,145.0,145.0,0.456,0.005,,0,0,DRL
17,EUROPE,,150.0,150.0,0.46,0.005,2,1,1,DRL
18,EUROPE,,160.0,160.0,0.51,0.005,2,1,1,DRL
19,BRAZIL,,170.0,170.0,0.529,0.005,1,1,1,DRL
20,USA,,180.0,180.0,0.516,0.005,15,1,1,DRL
21,USA,,185.0,185.0,0.457,0.005,15,1,1,DRL
22,BRAZIL,,190.0,190.0,0.442,0.005,1,1,1,DRL
23,BRAZIL,,200.0,200.0,0.452,0.005,1,1,1,DRL
24,BRAZIL,,210.0,210.0,0.488,0.005,1,1,1,DRL
25,BRAZIL,,215.0,215.0,0.455,0.005,1,1,1,DRL
26,EUROPE,,220.0,220.0,0.491,0.005,2,1,1,DRL
27,BRAZIL,,230.0,230.0,0.476,0.005,1,1,1,DRL
28,BRAZIL,,235.0,235.0,0.431,0.005,1,1,1,DRL
29,EUROPE,,245.0,245.0,0.496,0.005,2,1,1,DRL
30,USA,,250.0,250.0,0.449,0.005,15,1,1,DRL
31,BRAZIL,,255.0,255.0,0.447,0.005,1,1,1,DRL
32,USA,,260.0,260.0,0.497,0.005,15,1,1,DRL
33,USA,,265.0,265.0,0.489,0.005,15,1,1,DRL
34,USA,,295.0,295.0,0.577,0.005,15,1,1,DRL
35,EUROPE,,300.0,300.0,0.509,0.005,2,1,1,DRL
36,EUROPE,,305.0,305.0,0.55,0.005,2,1,1,DRL
37,USA,,325.0,325.0,0.53,0.005,15,1,1,DRL
38,BRAZIL,falha_hardware_camera_esq,330.0,330.0,0.487,0.005,,0,1,DRL
39,EUROPE,,335.0,335.0,0.526,0.005,2,1,1,DRL
40,BRAZIL,,340.0,340.0,0.657,0.005,1,1,1,DRL
41,BRAZIL,,345.0,345.0,0.844,0.005,1,1,1,DRL
42,USA,,355.0,355.0,0.551,0.005,15,1,1,DRL
43,BRAZIL,,360.0,360.0,0.6,0.005,1,1,1,DRL
44,EUROPE,,365.0,365.0,0.549,0.005,2,1,1,DRL
45,BRAZIL,,370.0,370.0,0.507,0.005,1,1,1,DRL
46,BRAZIL,,375.0,375.0,0.582,0.005,1,1,1,DRL
47,USA,,395.0,395.0,0.552,0.005,15,1,1,DRL
48,BRAZIL,,405.0,405.0,0.505,0.005,1,1,1,DRL
49,EUROPE,,410.0,410.0,0.535,0.005,2,1,1,DRL
50,BRAZIL,,425.0,425.0,0.584,0.005,1,1,1,DRL
51,EUROPE,,430.0,430.0,0.544,0.005,2,1,1,DRL
52,BRAZIL,,435.0,435.0,0.481,0.005,1,1,1,DRL
53,USA,,445.0,445.0,0.463,0.005,15,1,1,DRL
54,EUROPE,,450.0,450.0,0.44,0.005,2,1,1,DRL
55,BRAZIL,,455.0,455.0,0.456,0.005,1,1,1,DRL
56,EUROPE,,460.0,460.0,0.431,0.005,2,1,1,DRL
57,EUROPE,,470.0,470.0,0.484,0.005,2,1,1,DRL
58,USA,,475.0,475.0,0.482,0.005,15,1,1,DRL
59,EUROPE,,480.0,480.0,0.466,0.005,2,1,1,DRL
60,USA,,485.0,485.0,0.565,0.005,15,1,1,DRL
61,EUROPE,,490.0,490.0,0.5,0.005,2,1,1,DRL
62,BRAZIL,,495.0,495.0,0.521,0.005,1,1,1,DRL
63,USA,,500.0,500.0,0.492,0.005,15,1,1,DRL
64,EUROPE,,505.0,505.0,0.463,0.005,2,1,1,DRL
65,BRAZIL,,510.0,510.0,1.17,0.005,1,1,1,DRL
66,USA,,515.0,515.0,0.524,0.005,15,1,1,DRL
67,BRAZIL,falha_hardware_camera_esq,525.0,525.0,0.701,0.005,,0,1,DRL
68,BRAZIL,,540.0,540.0,0.636,0.005,1,1,1,DRL
69,EUROPE,,545.0,545.0,0.493,0.005,2,1,1,DRL
70,EUROPE,,550.0,550.0,0.478,0.005,2,1,1,DRL
71,EUROPE,,560.0,560.0,0.473,0.005,2,1,1,DRL
72,EUROPE,,565.0,565.0,0.444,0.005,2,1,1,DRL
73,EUROPE,,570.0,570.0,0.437,0.005,2,1,1,DRL
74,USA,,580.0,580.0,0.562,0.005,15,1,1,DRL
75,USA,,595.0,595.0,0.658,0.005,15,1,1,DRL
76,BRAZIL,,600.0,600.0,0.515,0.005,1,1,1,DRL
77,BRAZIL,,605.0,605.0,0.532,0.005,1,1,1,DRL
78,EUROPE,,610.0,610.0,0.681,0.005,2,1,1,DRL
79,BRAZIL,,630.0,630.0,0.543,0.005,1,1,1,DRL
80,BRAZIL,,640.0,640.0,0.539,0.005,1,1,1,DRL
81,USA,,650.0,650.0,0.568,0.005,15,1,1,DRL
82,USA,,655.0,655.0,0.538,0.005,15,1,1,DRL
83,BRAZIL,,660.0,660.0,0.505,0.005,1,1,1,DRL
84,BRAZIL,,665.0,665.0,0.468,0.005,1,1,1,DRL
85,EUROPE,,670.0,670.0,0.531,0.005,2,1,1,DRL
86,EUROPE,,675.0,675.0,0.599,0.005,2,1,1,DRL
87,USA,,680.0,680.0,0.504,0.005,15,1,1,DRL
88,USA,,685.0,685.0,0.466,0.005,15,1,1,DRL
89,USA,,690.0,690.0,0.471,0.005,15,1,1,DRL
90,USA,,700.0,700.0,0.526,0.005,15,1,1,DRL
91,BRAZIL,,715.0,715.0,0.523,0.005,1,1,1,DRL
92,EUROPE,falha_hardware_camera_esq,725.0,725.0,0.508,0.005,,0,1,DRL
93,BRAZIL,,740.0,740.0,0.531,0.005,1,1,1,DRL
94,BRAZIL,restricao_gdpr_europa,745.0,745.0,0.489,0.005,,0,0,DRL
95,EUROPE,restricao_soberania_brasil,750.0,750.0,0.506,0.005,,0,0,DRL
96,EUROPE,,760.0,760.0,0.55,0.005,2,1,1,DRL
97,USA,,765.0,765.0,0.515,0.005,15,1,1,DRL
98,EUROPE,,780.0,780.0,0.57,0.005,2,1,1,DRL
99,USA,,785.0,785.0,0.602,0.005,15,1,1,DRL
100,USA,,795.0,795.0,0.504,0.005,,0,1,DRL
101,EUROPE,,800.0,800.0,0.488,0.005,2,1,1,DRL
102,EUROPE,,805.0,805.0,0.531,0.005,2,1,1,DRL
103,BRAZIL,,810.0,810.0,0.497,0.005,1,1,1,DRL
104,EUROPE,,815.0,815.0,0.475,0.005,2,1,1,DRL
105,USA,,820.0,820.0,0.474,0.005,,0,1,DRL
106,USA,restricao_gdpr_europa,825.0,825.0,0.513,0.005,,0,0,DRL
107,USA,,840.0,840.0,0.501,0.005,,0,1,DRL
108,USA,,850.0,850.0,0.53,0.005,,0,1,DRL
109,USA,,855.0,855.0,0.5,0.005,,0,1,DRL
110,USA,,875.0,875.0,0.529,0.005,,0,1,DRL
111,EUROPE,,885.0,885.0,0.493,0.005,2,1,1,DRL
112,USA,,890.0,890.0,0.428,0.005,,0,1,DRL
113,BRAZIL,,895.0,895.0,0.473,0.005,1,1,1,DRL
114,BRAZIL,restricao_soberania_brasil,900.0,900.0,0.461,0.005,,0,0,DRL
115,EUROPE,,910.0,910.0,0.44,0.005,2,1,1,DRL
