task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,,5.0,5.0,1.232,0.001,2,1,1,DRL_ONEHOT
2,BRAZIL,,50.0,50.0,0.622,0.001,1,1,1,DRL_ONEHOT
3,USA,,70.0,70.0,0.63,0.001,15,1,1,DRL_ONEHOT
4,USA,,90.0,90.0,0.602,0.001,15,1,1,DRL_ONEHOT
5,BRAZIL,,95.0,95.0,0.542,0.001,1,1,1,DRL_ONEHOT
6,BRAZIL,,105.0,105.0,0.562,0.001,1,1,1,DRL_ONEHOT
7,BRAZIL,,120.0,120.0,0.601,0.001,1,1,1,DRL_ONEHOT
8,BRAZIL,,140.0,140.0,0.572,0.001,1,1,1,DRL_ONEHOT
9,USA,restricao_hipaa_eua,145.0,145.0,0.521,0.001,2,1,0,DRL_ONEHOT
10,USA,,175.0,175.0,0.628,0.001,15,1,1,DRL_ONEHOT
11,EUROPE,falha_calibracao_sensor_termico,220.0,220.0,0.633,0.001,2,1,0,DRL_ONEHOT
12,BRAZIL,,240.0,240.0,0.606,0.001,1,1,1,DRL_ONEHOT
13,BRAZIL,falha_bateria_celula_critica,260.0,260.0,0.576,0.001,,0,1,DRL_ONEHOT
14,BRAZIL,,275.0,275.0,0.57,0.001,1,1,1,DRL_ONEHOT
15,EUROPE,,280.0,280.0,0.566,0.001,2,1,1,DRL_ONEHOT
16,EUROPE,restricao_itar_eua,285.0,285.0,0.544,0.001,2,1,0,DRL_ONEHOT
17,BRAZIL,,290.0,290.0,0.551,0.001,1,1,1,DRL_ONEHOT
18,USA,,310.0,310.0,0.678,0.001,15,1,1,DRL_ONEHOT
19,BRAZIL,,365.0,365.0,0.659,0.001,1,1,1,DRL_ONEHOT
20,USA,,375.0,375.0,0.571,0.001,15,1,1,DRL_ONEHOT
21,BRAZIL,,405.0,405.0,0.609,0.001,1,1,1,DRL_ONEHOT
22,USA,,415.0,415.0,0.592,0.001,15,1,1,DRL_ONEHOT
23,USA,,430.0,430.0,0.578,0.001,15,1,1,DRL_ONEHOT
24,EUROPE,,440.0,440.0,0.566,0.001,2,1,1,DRL_ONEHOT
25,BRAZIL,,510.0,510.0,0.661,0.001,1,1,1,DRL_ONEHOT
26,USA,,520.0,520.0,0.537,0.001,15,1,1,DRL_ONEHOT
